종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2320","5","0.22","112605009440"
"054620","APS","KOSDAQ","금융","6840","-20","-0.29","139496471640"
"265520","AP시스템","KOSDAQ","반도체","19800","730","3.83","302572135800"
"211270","AP위성","KOSDAQ","통신장비","14230","-320","-2.20","214621185920"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","4270","-50","-1.16","230722084250"
"013720","CBI","KOSDAQ","운송장비·부품","1726","13","0.76","70217318408"
"083790","CG인바이츠","KOSDAQ","기타서비스","2765","-5","-0.18","212612413230"
"035760","CJ ENM","KOSDAQ","방송서비스","67700","-700","-1.02","1484603725800"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","15420","900","6.20","140514780840"
"051500","CJ프레시웨이","KOSDAQ","유통","23850","-400","-1.65","283137326100"
"058820","CMG제약","KOSDAQ","제약","2170","0","0.00","301396169480"
"023460","CNH","KOSDAQ","금융","1831","10","0.55","68113200000"
"056730","CNT85","KOSDAQ","건설","1260","24","1.94","59430364560"
"065770","CS","KOSDAQ","통신장비","1296","18","1.41","25156824480"
"083660","CSA 코스믹","KOSDAQ","화학","1129","24","2.17","69148067349"
"404950","DB금융스팩10호","KOSDAQ","금융","2700","-40","-1.46","15768000000"
"456440","DB금융스팩11호","KOSDAQ","금융","2075","5","0.24","11028625000"
"367360","DB금융스팩9호","KOSDAQ","금융","6020","0","0.00","29136800000"
"060900","DGP","KOSDAQ","전기·가스·수도","1783","24","1.36","45035422307"
"025440","DH오토웨어","KOSDAQ","일반전기전자","2100","5","0.24","64640570400"
"068790","DMS","KOSDAQ","기계·장비","6500","90","1.40","159724896500"
"241520","DSC인베스트먼트","KOSDAQ","금융","2720","20","0.74","75647016160"
"065150","DSEN","KOSDAQ","유통","275","-7","-2.48","34452661375"
"180400","DXVX","KOSDAQ","기타서비스","5890","30","0.51","177992454480"
"245620","EDGC","KOSDAQ","기타서비스","592","-15","-2.47","67446006480"
"037370","EG","KOSDAQ","화학","11580","90","0.78","99877175760"
"050120","ES큐브","KOSDAQ","유통","2995","30","1.01","40624437570"
"214270","FSN","KOSDAQ","출판·매체복제","2155","70","3.36","71654747765"
"130500","GH신소재","KOSDAQ","섬유·의류","2700","-20","-0.74","39271640400"
"900290","GRT","KOSDAQ","금융","2745","5","0.18","184944375000"
"083450","GST","KOSDAQ","반도체","23650","50","0.21","220364669250"
"297890","HB솔루션","KOSDAQ","기계·장비","4370","10","0.23","302415523690"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2405","10","0.42","222981777980"
"195940","HK이노엔","KOSDAQ","제약","42650","400","0.95","1208269851150"
"028300","HLB","KOSDAQ","제약","31100","300","0.97","4012085946900"
"278650","HLB바이오스텝","KOSDAQ","기타서비스","2625","35","1.35","206325892500"
